"year","period","periodName","Employment among men 16-24 (%)","Employment among women 16-24 (%)","date"
1957,8,"August",66.2,39.4,"1957-08-01"
1957,9,"September",65.7,40.2,"1957-09-01"
1957,10,"October",65.7,39.8,"1957-10-01"
1957,11,"November",63.8,39.5,"1957-11-01"
1957,12,"December",64.6,39.5,"1957-12-01"
1958,1,"January",62.6,38.4,"1958-01-01"
1958,2,"February",61.7,38.6,"1958-02-01"
1958,3,"March",61,38.5,"1958-03-01"
1958,4,"April",60.9,37.9,"1958-04-01"
1958,5,"May",61,39.2,"1958-05-01"
1958,6,"June",60.6,38.5,"1958-06-01"
1958,7,"July",60.8,37.5,"1958-07-01"
1958,8,"August",61.2,38.3,"1958-08-01"
1958,9,"September",61.1,37.9,"1958-09-01"
1958,10,"October",62.2,38.3,"1958-10-01"
1958,11,"November",62.5,37.5,"1958-11-01"
1958,12,"December",62.2,37.4,"1958-12-01"
1959,1,"January",62.5,37.9,"1959-01-01"
1959,2,"February",62.6,37.4,"1959-02-01"
1959,3,"March",63.2,37.5,"1959-03-01"
1959,4,"April",64.5,37.7,"1959-04-01"
1959,5,"May",63.9,37.1,"1959-05-01"
1959,6,"June",63.1,37.1,"1959-06-01"
1959,7,"July",63.7,36.9,"1959-07-01"
1959,8,"August",62.9,37.4,"1959-08-01"
1959,9,"September",63.7,37.5,"1959-09-01"
1959,10,"October",63.2,37.5,"1959-10-01"
1959,11,"November",63,37.3,"1959-11-01"
1959,12,"December",64.1,37.9,"1959-12-01"
1960,1,"January",63.7,37.3,"1960-01-01"
1960,2,"February",64.8,38.1,"1960-02-01"
1960,3,"March",62.4,37.8,"1960-03-01"
1960,4,"April",64.8,38.8,"1960-04-01"
1960,5,"May",64,39.4,"1960-05-01"
1960,6,"June",63.8,40.1,"1960-06-01"
1960,7,"July",63.1,38.8,"1960-07-01"
1960,8,"August",63.2,37.4,"1960-08-01"
1960,9,"September",63.4,38.2,"1960-09-01"
1960,10,"October",62.4,37.7,"1960-10-01"
1960,11,"November",63.5,37.5,"1960-11-01"
1960,12,"December",61.2,37.4,"1960-12-01"
1961,1,"January",63.5,37.3,"1961-01-01"
1961,2,"February",61.3,38.4,"1961-02-01"
1961,3,"March",60.8,39.1,"1961-03-01"
1961,4,"April",59.3,37.9,"1961-04-01"
1961,5,"May",60.3,37.2,"1961-05-01"
1961,6,"June",60.1,37.9,"1961-06-01"
1961,7,"July",60.5,37.2,"1961-07-01"
1961,8,"August",61.6,38.2,"1961-08-01"
1961,9,"September",62.5,37.5,"1961-09-01"
1961,10,"October",61.3,37.7,"1961-10-01"
1961,11,"November",62.2,38.9,"1961-11-01"
1961,12,"December",62,37.6,"1961-12-01"
1962,1,"January",61.6,37.4,"1962-01-01"
1962,2,"February",61.8,37.1,"1962-02-01"
1962,3,"March",62.5,37,"1962-03-01"
1962,4,"April",62.2,38.1,"1962-04-01"
1962,5,"May",63.1,38.6,"1962-05-01"
1962,6,"June",62.9,39.8,"1962-06-01"
1962,7,"July",62.7,38.6,"1962-07-01"
1962,8,"August",62.1,39,"1962-08-01"
1962,9,"September",62.2,38.3,"1962-09-01"
1962,10,"October",62.2,38.7,"1962-10-01"
1962,11,"November",61,38.3,"1962-11-01"
1962,12,"December",61.5,38.1,"1962-12-01"
1963,1,"January",61,38.4,"1963-01-01"
1963,2,"February",60.2,38.4,"1963-02-01"
1963,3,"March",60.6,38,"1963-03-01"
1963,4,"April",61.1,37.9,"1963-04-01"
1963,5,"May",60.6,37.8,"1963-05-01"
1963,6,"June",60.6,37.1,"1963-06-01"
1963,7,"July",60.7,37.4,"1963-07-01"
1963,8,"August",61.1,37.2,"1963-08-01"
1963,9,"September",61.2,37.4,"1963-09-01"
1963,10,"October",61.1,37.3,"1963-10-01"
1963,11,"November",60.7,36.7,"1963-11-01"
1963,12,"December",60.2,37.2,"1963-12-01"
1964,1,"January",60,37.8,"1964-01-01"
1964,2,"February",60.2,38.8,"1964-02-01"
1964,3,"March",60.3,38.4,"1964-03-01"
1964,4,"April",60.6,38.3,"1964-04-01"
1964,5,"May",62.1,37.7,"1964-05-01"
1964,6,"June",60.8,37.5,"1964-06-01"
1964,7,"July",61.7,37.6,"1964-07-01"
1964,8,"August",61.1,38.3,"1964-08-01"
1964,9,"September",62.2,38.8,"1964-09-01"
1964,10,"October",61.2,38.1,"1964-10-01"
1964,11,"November",61.1,38.6,"1964-11-01"
1964,12,"December",61.4,37.9,"1964-12-01"
1965,1,"January",61,37.2,"1965-01-01"
1965,2,"February",61.7,37.2,"1965-02-01"
1965,3,"March",61.7,38.1,"1965-03-01"
1965,4,"April",62.3,38.4,"1965-04-01"
1965,5,"May",63.1,38.8,"1965-05-01"
1965,6,"June",61.2,38.6,"1965-06-01"
1965,7,"July",63.3,39.5,"1965-07-01"
1965,8,"August",62.6,39.4,"1965-08-01"
1965,9,"September",61.7,40.2,"1965-09-01"
1965,10,"October",62.7,40.7,"1965-10-01"
1965,11,"November",63.2,40.5,"1965-11-01"
1965,12,"December",63.3,41.2,"1965-12-01"
1966,1,"January",64.1,41,"1966-01-01"
1966,2,"February",63.3,40.9,"1966-02-01"
1966,3,"March",63.5,40.6,"1966-03-01"
1966,4,"April",63.7,41.3,"1966-04-01"
1966,5,"May",63,41.8,"1966-05-01"
1966,6,"June",64.1,42,"1966-06-01"
1966,7,"July",64.4,41.8,"1966-07-01"
1966,8,"August",64.2,42.2,"1966-08-01"
1966,9,"September",62.7,41.6,"1966-09-01"
1966,10,"October",63.3,42.2,"1966-10-01"
1966,11,"November",63.9,43.1,"1966-11-01"
1966,12,"December",63.7,43.7,"1966-12-01"
1967,1,"January",64.1,42.5,"1967-01-01"
1967,2,"February",64.3,42.5,"1967-02-01"
1967,3,"March",63.8,42.6,"1967-03-01"
1967,4,"April",63.2,43.2,"1967-04-01"
1967,5,"May",63.2,42.7,"1967-05-01"
1967,6,"June",64.4,43,"1967-06-01"
1967,7,"July",64.4,42.9,"1967-07-01"
1967,8,"August",64.8,42.9,"1967-08-01"
1967,9,"September",63.9,42.7,"1967-09-01"
1967,10,"October",63.8,42.8,"1967-10-01"
1967,11,"November",63,43.9,"1967-11-01"
1967,12,"December",63.3,44.1,"1967-12-01"
1968,1,"January",62,43.4,"1968-01-01"
1968,2,"February",63,43.5,"1968-02-01"
1968,3,"March",62.5,43.7,"1968-03-01"
1968,4,"April",63,43.5,"1968-04-01"
1968,5,"May",62.9,43.8,"1968-05-01"
1968,6,"June",63,43.9,"1968-06-01"
1968,7,"July",63.5,44,"1968-07-01"
1968,8,"August",63.7,44,"1968-08-01"
1968,9,"September",62.7,44.3,"1968-09-01"
1968,10,"October",63,43.9,"1968-10-01"
1968,11,"November",62.5,44,"1968-11-01"
1968,12,"December",63.1,43.7,"1968-12-01"
1969,1,"January",62.4,44.4,"1969-01-01"
1969,2,"February",63,44.8,"1969-02-01"
1969,3,"March",62.9,45.3,"1969-03-01"
1969,4,"April",63.5,45.3,"1969-04-01"
1969,5,"May",62.8,44.3,"1969-05-01"
1969,6,"June",63.6,46.3,"1969-06-01"
1969,7,"July",63.5,46,"1969-07-01"
1969,8,"August",64.2,46.1,"1969-08-01"
1969,9,"September",64,45.9,"1969-09-01"
1969,10,"October",63.6,46.5,"1969-10-01"
1969,11,"November",63.9,46.8,"1969-11-01"
1969,12,"December",63.3,46.7,"1969-12-01"
1970,1,"January",63.1,46.5,"1970-01-01"
1970,2,"February",62.9,46.2,"1970-02-01"
1970,3,"March",63.3,46,"1970-03-01"
1970,4,"April",62.1,45.9,"1970-04-01"
1970,5,"May",62.1,45.7,"1970-05-01"
1970,6,"June",60.7,45.1,"1970-06-01"
1970,7,"July",61.5,45.6,"1970-07-01"
1970,8,"August",61.2,45.7,"1970-08-01"
1970,9,"September",61.3,45.8,"1970-09-01"
1970,10,"October",60.4,46,"1970-10-01"
1970,11,"November",60.9,44.8,"1970-11-01"
1970,12,"December",61.2,44.4,"1970-12-01"
1971,1,"January",60.7,44.9,"1971-01-01"
1971,2,"February",60.5,44.6,"1971-02-01"
1971,3,"March",60,44.2,"1971-03-01"
1971,4,"April",61.1,44.3,"1971-04-01"
1971,5,"May",60.6,44.2,"1971-05-01"
1971,6,"June",58.8,43.1,"1971-06-01"
1971,7,"July",60.9,44.8,"1971-07-01"
1971,8,"August",60.9,45.2,"1971-08-01"
1971,9,"September",60.6,45.2,"1971-09-01"
1971,10,"October",61.2,44.9,"1971-10-01"
1971,11,"November",61.3,44.9,"1971-11-01"
1971,12,"December",61.7,45.6,"1971-12-01"
1972,1,"January",61.1,45.7,"1972-01-01"
1972,2,"February",61.3,45.8,"1972-02-01"
1972,3,"March",61.8,45.8,"1972-03-01"
1972,4,"April",61.9,46.3,"1972-04-01"
1972,5,"May",62.1,46.8,"1972-05-01"
1972,6,"June",63.1,46.2,"1972-06-01"
1972,7,"July",62.8,46.3,"1972-07-01"
1972,8,"August",63.6,46.7,"1972-08-01"
1972,9,"September",63.4,46.1,"1972-09-01"
1972,10,"October",63.5,46.6,"1972-10-01"
1972,11,"November",63.7,47.3,"1972-11-01"
1972,12,"December",64.4,47.5,"1972-12-01"
1973,1,"January",64.1,47.4,"1973-01-01"
1973,2,"February",64.9,48.1,"1973-02-01"
1973,3,"March",66,48.5,"1973-03-01"
1973,4,"April",65.4,48.5,"1973-04-01"
1973,5,"May",64.9,48.7,"1973-05-01"
1973,6,"June",65.8,49.5,"1973-06-01"
1973,7,"July",65.9,48.2,"1973-07-01"
1973,8,"August",65.1,48.6,"1973-08-01"
1973,9,"September",65.6,49,"1973-09-01"
1973,10,"October",66.6,49.6,"1973-10-01"
1973,11,"November",66.6,49.6,"1973-11-01"
1973,12,"December",67,49.5,"1973-12-01"
1974,1,"January",67.1,49.1,"1974-01-01"
1974,2,"February",66.5,49.9,"1974-02-01"
1974,3,"March",66.2,50.1,"1974-03-01"
1974,4,"April",65.7,49.8,"1974-04-01"
1974,5,"May",65.8,49.4,"1974-05-01"
1974,6,"June",65.6,49.3,"1974-06-01"
1974,7,"July",65,49.4,"1974-07-01"
1974,8,"August",64.4,49.7,"1974-08-01"
1974,9,"September",65.1,49.9,"1974-09-01"
1974,10,"October",65,50,"1974-10-01"
1974,11,"November",64.2,49.4,"1974-11-01"
1974,12,"December",63.1,49,"1974-12-01"
1975,1,"January",61.8,49.1,"1975-01-01"
1975,2,"February",61.3,48.2,"1975-02-01"
1975,3,"March",60.8,47.9,"1975-03-01"
1975,4,"April",59.8,48.1,"1975-04-01"
1975,5,"May",60.5,48.2,"1975-05-01"
1975,6,"June",59.7,48.2,"1975-06-01"
1975,7,"July",60.1,48.4,"1975-07-01"
1975,8,"August",60.1,48.4,"1975-08-01"
1975,9,"September",60.4,48.5,"1975-09-01"
1975,10,"October",60,48.1,"1975-10-01"
1975,11,"November",60,47.8,"1975-11-01"
1975,12,"December",60.5,48.5,"1975-12-01"
1976,1,"January",60.9,48.8,"1976-01-01"
1976,2,"February",62,48.8,"1976-02-01"
1976,3,"March",61.7,49.3,"1976-03-01"
1976,4,"April",62.5,49.6,"1976-04-01"
1976,5,"May",62.4,50.5,"1976-05-01"
1976,6,"June",61.6,49.8,"1976-06-01"
1976,7,"July",62.7,50.9,"1976-07-01"
1976,8,"August",62.4,49.5,"1976-08-01"
1976,9,"September",62.1,49.3,"1976-09-01"
1976,10,"October",62.2,49.4,"1976-10-01"
1976,11,"November",62.4,49.7,"1976-11-01"
1976,12,"December",62.8,49.3,"1976-12-01"
1977,1,"January",63.1,49.5,"1977-01-01"
1977,2,"February",63.2,50.4,"1977-02-01"
1977,3,"March",63.4,50.7,"1977-03-01"
1977,4,"April",63.6,50.8,"1977-04-01"
1977,5,"May",63.6,50.8,"1977-05-01"
1977,6,"June",64.3,51.7,"1977-06-01"
1977,7,"July",64.5,51.3,"1977-07-01"
1977,8,"August",64.4,52.1,"1977-08-01"
1977,9,"September",64.1,51.7,"1977-09-01"
1977,10,"October",65.1,51.5,"1977-10-01"
1977,11,"November",65.4,51.9,"1977-11-01"
1977,12,"December",65.7,52.3,"1977-12-01"
1978,1,"January",65.2,52.4,"1978-01-01"
1978,2,"February",64.6,52.4,"1978-02-01"
1978,3,"March",64.9,52.3,"1978-03-01"
1978,4,"April",65.4,53.2,"1978-04-01"
1978,5,"May",66.2,53.9,"1978-05-01"
1978,6,"June",67.2,54.4,"1978-06-01"
1978,7,"July",66.1,53.9,"1978-07-01"
1978,8,"August",67.3,54.8,"1978-08-01"
1978,9,"September",66.2,54.4,"1978-09-01"
1978,10,"October",66.6,55,"1978-10-01"
1978,11,"November",66.7,54.2,"1978-11-01"
1978,12,"December",66.1,54.9,"1978-12-01"
1979,1,"January",66.8,54.9,"1979-01-01"
1979,2,"February",66.9,55.4,"1979-02-01"
1979,3,"March",66.6,55.8,"1979-03-01"
1979,4,"April",66.9,54.8,"1979-04-01"
1979,5,"May",66.2,54.7,"1979-05-01"
1979,6,"June",67.1,54.7,"1979-06-01"
1979,7,"July",66.5,54.9,"1979-07-01"
1979,8,"August",66.1,53.9,"1979-08-01"
1979,9,"September",66.8,54.4,"1979-09-01"
1979,10,"October",66,54.5,"1979-10-01"
1979,11,"November",66.2,54.9,"1979-11-01"
1979,12,"December",66.1,54.7,"1979-12-01"
1980,1,"January",65.5,54.6,"1980-01-01"
1980,2,"February",65.6,54.2,"1980-02-01"
1980,3,"March",65.8,53.8,"1980-03-01"
1980,4,"April",64.3,53.5,"1980-04-01"
1980,5,"May",63.6,53.4,"1980-05-01"
1980,6,"June",62.8,53.4,"1980-06-01"
1980,7,"July",62.6,53.8,"1980-07-01"
1980,8,"August",62.1,53.5,"1980-08-01"
1980,9,"September",62.5,53.9,"1980-09-01"
1980,10,"October",62.5,54.4,"1980-10-01"
1980,11,"November",62.6,54,"1980-11-01"
1980,12,"December",62.8,54.1,"1980-12-01"
1981,1,"January",63,54.1,"1981-01-01"
1981,2,"February",62.8,53.9,"1981-02-01"
1981,3,"March",63,53.7,"1981-03-01"
1981,4,"April",63.3,54.1,"1981-04-01"
1981,5,"May",62.6,53.9,"1981-05-01"
1981,6,"June",61.2,52.9,"1981-06-01"
1981,7,"July",62.5,53.2,"1981-07-01"
1981,8,"August",62.4,53.5,"1981-08-01"
1981,9,"September",62,52.6,"1981-09-01"
1981,10,"October",61.7,53.1,"1981-10-01"
1981,11,"November",61,52.6,"1981-11-01"
1981,12,"December",60.5,52,"1981-12-01"
1982,1,"January",60.2,51.9,"1982-01-01"
1982,2,"February",60,51.9,"1982-02-01"
1982,3,"March",59.5,52.2,"1982-03-01"
1982,4,"April",59,52.2,"1982-04-01"
1982,5,"May",59.8,52.4,"1982-05-01"
1982,6,"June",57.9,52.1,"1982-06-01"
1982,7,"July",57.9,51.8,"1982-07-01"
1982,8,"August",58.6,51.8,"1982-08-01"
1982,9,"September",57.9,52.1,"1982-09-01"
1982,10,"October",58.2,51.7,"1982-10-01"
1982,11,"November",58,51.8,"1982-11-01"
1982,12,"December",57.7,51.7,"1982-12-01"
1983,1,"January",57.8,51.7,"1983-01-01"
1983,2,"February",57.7,51.6,"1983-02-01"
1983,3,"March",57.3,51.5,"1983-03-01"
1983,4,"April",57.6,51.6,"1983-04-01"
1983,5,"May",57.5,51.2,"1983-05-01"
1983,6,"June",60.4,51.7,"1983-06-01"
1983,7,"July",60,52.5,"1983-07-01"
1983,8,"August",59.9,52.9,"1983-08-01"
1983,9,"September",60,52.8,"1983-09-01"
1983,10,"October",59.7,52.5,"1983-10-01"
1983,11,"November",61,52.8,"1983-11-01"
1983,12,"December",60.9,53.3,"1983-12-01"
1984,1,"January",60.6,53.6,"1984-01-01"
1984,2,"February",61.4,53.6,"1984-02-01"
1984,3,"March",62,53.2,"1984-03-01"
1984,4,"April",62,53.8,"1984-04-01"
1984,5,"May",62.5,54.5,"1984-05-01"
1984,6,"June",64.1,55.1,"1984-06-01"
1984,7,"July",62.3,55.7,"1984-07-01"
1984,8,"August",61.6,53.9,"1984-08-01"
1984,9,"September",62.4,54.6,"1984-09-01"
1984,10,"October",62.4,54.9,"1984-10-01"
1984,11,"November",63.2,55,"1984-11-01"
1984,12,"December",62.8,55.1,"1984-12-01"
1985,1,"January",63,55.5,"1985-01-01"
1985,2,"February",62.3,55.8,"1985-02-01"
1985,3,"March",62.7,55.7,"1985-03-01"
1985,4,"April",63.2,55.5,"1985-04-01"
1985,5,"May",63,55.3,"1985-05-01"
1985,6,"June",62.5,54.3,"1985-06-01"
1985,7,"July",62.2,55.3,"1985-07-01"
1985,8,"August",62.4,54.9,"1985-08-01"
1985,9,"September",62.9,55.7,"1985-09-01"
1985,10,"October",62.3,55.8,"1985-10-01"
1985,11,"November",62.8,55.8,"1985-11-01"
1985,12,"December",62.9,55.8,"1985-12-01"
1986,1,"January",62.9,55.3,"1986-01-01"
1986,2,"February",63.4,55.7,"1986-02-01"
1986,3,"March",63.3,56.4,"1986-03-01"
1986,4,"April",62.8,56.2,"1986-04-01"
1986,5,"May",62.5,56,"1986-05-01"
1986,6,"June",62.7,56.3,"1986-06-01"
1986,7,"July",63,55.9,"1986-07-01"
1986,8,"August",62.9,56.1,"1986-08-01"
1986,9,"September",63.1,56,"1986-09-01"
1986,10,"October",63.5,56.1,"1986-10-01"
1986,11,"November",63.4,56.3,"1986-11-01"
1986,12,"December",62.9,56.1,"1986-12-01"
1987,1,"January",63.2,56.3,"1987-01-01"
1987,2,"February",63.4,56.4,"1987-02-01"
1987,3,"March",62.8,56.8,"1987-03-01"
1987,4,"April",62.8,56.8,"1987-04-01"
1987,5,"May",62.9,57.5,"1987-05-01"
1987,6,"June",62.3,56.6,"1987-06-01"
1987,7,"July",63,57.2,"1987-07-01"
1987,8,"August",64.1,58,"1987-08-01"
1987,9,"September",63.6,56.7,"1987-09-01"
1987,10,"October",63.3,57,"1987-10-01"
1987,11,"November",63.2,57.5,"1987-11-01"
1987,12,"December",63.5,57.7,"1987-12-01"
1988,1,"January",63.9,58.2,"1988-01-01"
1988,2,"February",63.8,58.2,"1988-02-01"
1988,3,"March",62.9,56.9,"1988-03-01"
1988,4,"April",63.9,57,"1988-04-01"
1988,5,"May",63.9,56.2,"1988-05-01"
1988,6,"June",64.7,58.2,"1988-06-01"
1988,7,"July",64.4,58.2,"1988-07-01"
1988,8,"August",65,57.9,"1988-08-01"
1988,9,"September",64.8,57.9,"1988-09-01"
1988,10,"October",63.8,58,"1988-10-01"
1988,11,"November",64.5,57.3,"1988-11-01"
1988,12,"December",63.9,57.8,"1988-12-01"
1989,1,"January",63.5,57.6,"1989-01-01"
1989,2,"February",64.6,57.2,"1989-02-01"
1989,3,"March",65.2,57.4,"1989-03-01"
1989,4,"April",64.8,57.8,"1989-04-01"
1989,5,"May",64.4,57.9,"1989-05-01"
1989,6,"June",65.6,58,"1989-06-01"
1989,7,"July",65.3,58.5,"1989-07-01"
1989,8,"August",65.5,58.9,"1989-08-01"
1989,9,"September",63.6,58,"1989-09-01"
1989,10,"October",64.6,57.3,"1989-10-01"
1989,11,"November",64,58,"1989-11-01"
1989,12,"December",63.8,56.6,"1989-12-01"
1990,1,"January",64.4,56.6,"1990-01-01"
1990,2,"February",64.4,56.5,"1990-02-01"
1990,3,"March",64.6,56.8,"1990-03-01"
1990,4,"April",64.2,56.1,"1990-04-01"
1990,5,"May",64.4,56.5,"1990-05-01"
1990,6,"June",64.1,56.5,"1990-06-01"
1990,7,"July",63.7,56.4,"1990-07-01"
1990,8,"August",62.9,56.2,"1990-08-01"
1990,9,"September",62.1,56,"1990-09-01"
1990,10,"October",62.4,55.6,"1990-10-01"
1990,11,"November",62.1,55.2,"1990-11-01"
1990,12,"December",62.1,55.1,"1990-12-01"
1991,1,"January",61.8,55.2,"1991-01-01"
1991,2,"February",61.3,54.8,"1991-02-01"
1991,3,"March",61.1,54.6,"1991-03-01"
1991,4,"April",60.4,54.9,"1991-04-01"
1991,5,"May",60.4,53.7,"1991-05-01"
1991,6,"June",60.1,53.5,"1991-06-01"
1991,7,"July",60,53,"1991-07-01"
1991,8,"August",60,53.1,"1991-08-01"
1991,9,"September",59.9,53.8,"1991-09-01"
1991,10,"October",59.9,53.7,"1991-10-01"
1991,11,"November",59.6,54,"1991-11-01"
1991,12,"December",59,53.4,"1991-12-01"
1992,1,"January",59.5,54,"1992-01-01"
1992,2,"February",59,54.3,"1992-02-01"
1992,3,"March",58.9,54.5,"1992-03-01"
1992,4,"April",59.5,53.8,"1992-04-01"
1992,5,"May",59.3,53.7,"1992-05-01"
1992,6,"June",59.5,52.9,"1992-06-01"
1992,7,"July",59.8,53.8,"1992-07-01"
1992,8,"August",60.1,54.1,"1992-08-01"
1992,9,"September",60.3,53.3,"1992-09-01"
1992,10,"October",60.1,52.8,"1992-10-01"
1992,11,"November",60,53.5,"1992-11-01"
1992,12,"December",60.3,53.8,"1992-12-01"
1993,1,"January",60.1,53.8,"1993-01-01"
1993,2,"February",60.4,54,"1993-02-01"
1993,3,"March",60.9,53.9,"1993-03-01"
1993,4,"April",59.7,54.1,"1993-04-01"
1993,5,"May",60.1,54.5,"1993-05-01"
1993,6,"June",60,54,"1993-06-01"
1993,7,"July",60.5,54.9,"1993-07-01"
1993,8,"August",60.7,54.4,"1993-08-01"
1993,9,"September",60,54.8,"1993-09-01"
1993,10,"October",59.9,54.4,"1993-10-01"
1993,11,"November",59.9,54.5,"1993-11-01"
1993,12,"December",59.9,54.7,"1993-12-01"
1994,1,"January",59.8,55,"1994-01-01"
1994,2,"February",60.9,55.3,"1994-02-01"
1994,3,"March",60.3,55,"1994-03-01"
1994,4,"April",60.3,55.3,"1994-04-01"
1994,5,"May",60.7,55.5,"1994-05-01"
1994,6,"June",60.9,56,"1994-06-01"
1994,7,"July",60.4,55.2,"1994-07-01"
1994,8,"August",61.9,55.4,"1994-08-01"
1994,9,"September",61.1,54.6,"1994-09-01"
1994,10,"October",62.1,55.1,"1994-10-01"
1994,11,"November",62,55.2,"1994-11-01"
1994,12,"December",61.9,55.7,"1994-12-01"
1995,1,"January",62.2,56.4,"1995-01-01"
1995,2,"February",62.5,55.3,"1995-02-01"
